"DateTime";"Valor Fora do SPI";"Valor SPI";"Total"
"2021-02-28";28572,61;169605,24;198177,85
"2021-03-31";34667,39;238340,77;273008,16
"2021-04-30";39315,88;273600,88;312916,76
"2021-05-31";49144,88;308282,56;357427,45
"2021-06-30";54944,09;361363,07;416307,16
"2021-07-31";61010,39;413422,5;474432,89
"2021-08-31";71330,85;458004,55;529335,4
"2021-09-30";73550,01;479641,34;553191,34
"2021-10-31";78541,97;502076,94;580618,91
"2021-11-30";82585,06;538346,39;620931,44
"2021-12-31";92465,4;622430,76;714896,16
"2022-01-31";82307,91;553979,25;636287,17
"2022-02-28";82031,04;562339,05;644370,09
"2022-03-31";97208,48;690198,17;787406,65
"2022-04-30";92112,4;680463,24;772575,64
"2022-05-31";112204,74;770623,39;882828,13
"2022-06-30";116447,88;772735,61;889183,5
"2022-07-31";121716,02;811822,14;933538,16
"2022-08-31";98525,44;887047,95;985573,39
"2022-09-30";141375,65;880080,25;1021455,89
"2022-10-31";151390,57;897476,85;1048867,43
"2022-11-30";156547,93;921396,46;1077944,39
"2022-12-31";177173,22;1046789,86;1223963,08
"2023-01-31";177173,22;955287,94;1223963,08
